,open,high,low,close,volume
2024-10-18 16:33:00,232.2,233.0,232.2,233.0,2
2024-10-18 16:31:00,233.0,233.0,233.0,233.0,1
2024-10-18 16:30:00,232.21,232.21,232.21,232.21,2
2024-10-18 16:27:00,232.22,232.22,232.22,232.22,40
2024-10-18 16:23:00,232.46,232.46,232.46,232.46,1
2024-10-18 16:21:00,233.0,233.0,233.0,233.0,4
2024-10-18 16:20:00,232.2,232.2,232.0142,232.0142,1705
2024-10-18 16:19:00,232.2,232.2,232.2,232.2,68590
2024-10-18 16:18:00,232.11,232.11,232.1,232.1,36
2024-10-18 16:17:00,232.2,232.2,232.2,232.2,7
2024-10-18 16:16:00,232.19,232.2,232.19,232.2,27
2024-10-18 16:15:00,232.2,232.2,232.2,232.2,2
2024-10-18 16:14:00,232.2,232.2,232.2,232.2,58
2024-10-18 16:13:00,232.08,232.08,232.08,232.08,186
2024-10-18 16:12:00,232.07,232.08,232.07,232.08,46
2024-10-18 16:10:00,232.2,232.2,232.2,232.2,1456940
2024-10-18 16:09:00,232.05,232.05,232.05,232.05,21
2024-10-18 16:06:00,232.05,232.05,232.05,232.05,1
2024-10-18 16:05:00,232.45,232.45,232.06,232.06,431
2024-10-18 16:04:00,232.8,232.8,232.8,232.8,30
2024-10-18 16:03:00,232.2,232.9,232.2,232.2,19733
2024-10-18 16:02:00,232.2,232.2,232.04,232.2,9244
2024-10-18 16:01:00,232.2,232.21,232.0,232.2,31739
2024-10-18 16:00:00,232.22,232.87,231.38,232.2,3008780
2024-10-18 15:59:00,231.94,232.27,231.94,232.09,208353
2024-10-18 15:58:00,231.9701,232.01,231.895,231.93,50149
2024-10-18 15:57:00,231.91,232.02,231.9,231.99,37207
2024-10-18 15:56:00,231.91,231.93,231.87,231.915,20862
2024-10-18 15:55:00,232.06,232.065,231.91,231.92,27888
2024-10-18 15:54:00,232.055,232.08,231.98,232.08,17691
2024-10-18 15:53:00,232.11,232.18,232.025,232.025,23682
2024-10-18 15:52:00,231.938,232.087,231.916,232.08,13487
2024-10-18 15:51:00,231.88,231.92,231.85,231.91,13302
2024-10-18 15:50:00,231.7,231.92,231.7,231.92,15699
2024-10-18 15:49:00,231.77,231.77,231.65,231.685,9999
2024-10-18 15:48:00,231.775,231.799,231.74,231.76,10026
2024-10-18 15:47:00,231.7213,231.8,231.72,231.78,7919
2024-10-18 15:46:00,231.54,231.68,231.534,231.68,7003
2024-10-18 15:45:00,231.48,231.54,231.45,231.54,6416
2024-10-18 15:44:00,231.495,231.535,231.47,231.49,8836
2024-10-18 15:43:00,231.47,231.53,231.455,231.49,5430
2024-10-18 15:42:00,231.5,231.539,231.43,231.46,6696
2024-10-18 15:41:00,231.58,231.6,231.5,231.515,8564
2024-10-18 15:40:00,231.5801,231.62,231.524,231.565,8823
2024-10-18 15:39:00,231.485,231.64,231.485,231.61,7260
2024-10-18 15:38:00,231.48,231.53,231.48,231.485,6444
2024-10-18 15:37:00,231.45,231.49,231.44,231.49,6105
2024-10-18 15:36:00,231.39,231.42,231.365,231.42,5894
2024-10-18 15:35:00,231.41,231.448,231.37,231.375,6185
